row_id,source_locator,catalyst,field,value,unit,context_or_qualifier,evidence_level,expert_decision,expert_note,字段说明（中文）,符号与审核提示,coverage_status,coverage_detail
G014,main PDF page 6; Catalytic evaluations,all activity samples,pressure,atmospheric,,standard activity measurement,reported_condition,approve,,标准活性评价在大气压力下进行。,保留为报告条件；不自动换算为精确压力。,missing,no matching automatic candidate
G015,main PDF page 6; Catalytic evaluations,all activity samples,no_inlet,500,ppm,standard activity measurement,reported_condition,approve,,入口 NO 浓度。,属于标准活性评价条件。,missing,no matching automatic candidate
G016,main PDF page 6; Catalytic evaluations,all activity samples,nh3_inlet,500,ppm,standard activity measurement,reported_condition,approve,,入口 NH3 浓度。,属于标准活性评价条件。,missing,no matching automatic candidate
G017,main PDF page 6; Catalytic evaluations,all activity samples,o2_inlet,3,vol%,standard activity measurement,reported_condition,approve,,入口 O2 体积分数。,vol% 表示体积百分数。,missing,no matching automatic candidate
G018,main PDF page 6; Catalytic evaluations,all activity samples,ghsv,800000,h^-1,standard activity measurement,reported_condition,approve,,标准活性评价的气体体积空速。,单位 h⁻¹。,missing,no matching automatic candidate
G019,main PDF page 6; durability method,Mo1/Fe2O3,temperature,300,degC,H2O/SO2 durability,reported_condition,approve,,耐水、耐硫实验温度。,与标准升温活性曲线不是同一实验。,missing,no matching automatic candidate
G020,main PDF page 6; durability method,Mo1/Fe2O3,so2_inlet,200,ppm,when SO2 is used,reported_condition,approve,,耐硫实验使用的入口 SO2 浓度。,只在加入 SO2 的阶段适用。,missing,no matching automatic candidate
G021,main PDF page 6; durability method,Mo1/Fe2O3,h2o_inlet,5,vol%,when H2O is used,reported_condition,approve,,耐水实验使用的入口 H2O 体积分数。,只在加入 H2O 的阶段适用。,missing,no matching automatic candidate
G022,supplementary Fig.11,Mo1/Fe2O3 series,no_conversion_curve,,,different Mo loadings; requires curve digitization,figure_data,approve,,补充图 11：不同 Mo 负载量及对照样的 NO 转化率-温度曲线。,PDF 为矢量图，将使用自动标记读取工具。,covered,179 vector-marker points in D:\数据检索\nh3_scr_tool\output\pilot_2020_curves\fig11\points.csv
G023,supplementary Fig.12,Mo1/Fe2O3 and alpha-Fe2O3,n2_selectivity_curve,,,GHSV 66000 h^-1; requires curve digitization,figure_data,approve,,补充图 12：转化率、N2O 和 N2 选择性四个子图。,PDF 为矢量图；每个子图和坐标轴分别标定。,covered,54 vector-marker points in D:\数据检索\nh3_scr_tool\output\pilot_2020_curves\fig12\points.csv
G024,supplementary Fig.13,Mo1/Fe2O3,durability_curve,,,H2O/SO2 at 300 degC; requires curve digitization,figure_data,approve,,补充图 13：加入 H2O/SO2 前后，NO 转化率随时间变化。,PDF 为矢量图；断轴和加入/切断时间需要单独处理。,covered,59 vector-marker points in D:\数据检索\nh3_scr_tool\output\pilot_2020_curves\fig13\points.csv
